,price,BEDS,ACRES,BATHS,1/2 BATHS,SQFT,$/SQFT,Neighborhood:,Type:,Built:,County:,Area:,Elementary School,Middle School,High School,School District,Architectural Style,Attached Garage YN,Carport Spaces,Carport YN,Construction Status,Covered Spaces,Exterior Features,Frontage Length,Garage YN,Horse Property YN,Lot Features,Lot Size Dimensions,Mobile Length,Mobile Width,Open Parking Spaces,Open Parking YN,Other Equipment,Parking Features,Parking Total,Patio And Porch Features,Pool Private YN,Roof,Spa YN,Topography,Vegetation,View,View YN,Waterfront YN,Above Grade Finished Area,Appliances,Basement,Basement Finished Percentage,Bathrooms One Quarter,Bathrooms Partial,Building Area Total,Cooling,Cooling YN,Fireplace YN,Fireplaces Total,Flooring,Heating,Heating YN,Interior Features,Laundry Features,Main Level Bedrooms,Master Bedroom Level,Rooms Total,Association Fee,Association YN,Capitalization Rate,Current Use,Exclusions,Inclusions,Irrigation Water Rights Acres,Lease Amount,Lease Considered YN,Listing Terms,New Construction YN,Number Of Pads,Number Of Units Leased,Power Production Solar Year Install,Property Attached YN,Property Condition,Property Sub Type,Senior Community YN,Sewer,Tax Annual Amount,Utilities,Water Source,Zoning,Construction Materials,Window Features,Cross Street,Other Parking,Association Amenities,Association Fee Frequency,Association Fee Includes,Zoning Description,Pool Features,Community Features,Fireplace Features,Door Features,Accessibility Features,RVParking Dimensions,Green Energy Generation,Power Production Type,Solar Ownership,Green Building Verification Type,Solar Finance Company
0,360000,4,0.24,3,0,2048,176,Cedar Trail Village,Single-Family Home,2002,Utah,Am Fork; Hlnd; Lehi; Saratog.,Eagle Valley,Frontier,Cedar Valley,Alpine,Rambler/Ranch,Yes,0,No,Blt./Standing,2,"Double Pane Windows
Out Buildings
Lighting
Porch: Open",0.0,Yes,No,"Curb & Gutter
Fenced: Full
Road: Paved
Sidewalks
Sprinkler: Auto-Full
View: Mountain",0.0X0.0X0.0,0,0,4,No,Storage Sheds,Rv Parking,6,Porch: Open,No,Asphalt,No,"Curb & Gutter
Fenced: Full
Road: Paved
Sidewalks
Sprinkler: Auto-Full
Terrain
Flat
View: Mountain",Landscaping: Full,Mountain(S),Yes,No,1024,"Ceiling Fan
Microwave
Water Softener Owned",Full,95,0,0,2048,Central Air,Yes,No,0,"Carpet
Laminate
Tile",Forced Air,True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Kitchen: Updated
Range: Gas
Range/Oven: Free Stdng.
Vaulted Ceilings
Granite Countertops","Electric Dryer Hookup
Gas Dryer Hookup",2,Floor: 1st,12,0,No,0,Single Family,"See Remarks
Dryer
Freezer
Gas Grill/Bbq
Refrigerator
Washer","Ceiling Fan
Microwave
Range
Storage Sheds
Water Softener: Own",0,0,No,"Cash
Conventional
Fha
Va Loan",No,0,0,0,No,Blt./Standing,Single Family Residence,No,"Sewer: Connected
Sewer: Public",1640,"Natural Gas Connected
Electricity Connected
Sewer Connected
Sewer: Public
Water Connected",Culinary,Single-Family,,,,,,,,,,,,,,,,,,,
0,480000,3,0.13,2,1,2804,171,Am Fork; Hlnd; Lehi; Saratog.,Single-Family Home,2020,Utah,Am Fork; Hlnd; Lehi; Saratog.,Mountain Trails,Frontier,Cedar Valley High School,Alpine,Stories: 2,No,0,No,Blt./Standing,2,"Porch: Open
Sliding Glass Doors",0.0,Yes,No,Sidewalks,0.0X0.0X0.0,0,0,0,No,,,2,Porch: Open,No,Asphalt,No,"Sidewalks
Terrain
Flat",,,No,No,1624,"Ceiling Fan
Microwave",Full,0,0,1,2804,Central Air,Yes,No,0,"Carpet
Tile
Vinyl",Gas: Central,True,"Bath: Master
Bath: Sep. Tub/Shower
Closet: Walk-In
Disposal
Range/Oven: Built-In",Electric Dryer Hookup,1,Floor: 1st,10,0,No,0,Single Family,,"Ceiling Fan
Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",No,0,0,0,No,Blt./Standing,Single Family Residence,No,Sewer: Connected,1600,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,Single-Family,"Asphalt
Stone
Stucco
Cement Siding",,,,,,,,,,,,,,,,,,
0,831188,4,0.34,2,1,4751,175,Laney Estates,Single-Family Home,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Sego Lily,Lehi,Lehi,Alpine,Stories: 2,Yes,0,No,Und. Const.,3,,102.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Terrain Flat",102.0X145.0X103.0,0,0,0,No,,,3,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Terrain
Flat",,,No,No,2767,,Full,0,0,1,4751,Central Air,Yes,Yes,1,"Carpet
Hardwood
Tile","Forced Air
Gas: Central
>= 95% Efficiency",True,"Bath: Sep. Tub/Shower
Closet: Walk-In
Den/Office
Dishwasher Built-In
Disposal
Gas Log
Oven: Double
Range: Countertop
Range: Gas
Vaulted Ceilings",Electric Dryer Hookup,1,Floor: 1st,10,0,No,0,Single Family,,,0,0,No,,Yes,0,0,0,No,,Single Family Residence,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected","Culinary
Secondary",Single-Family,"Asphalt
Cement Siding",None,900,,,,,,,,,,,,,,,,
0,289900,2,0.16,1,0,959,302,Pl Grove; Lindon; Orem,Single-Family Home,1951,Utah,Pl Grove; Lindon; Orem,Central,Pleasant Grove,Pleasant Grove,Alpine,Rambler/Ranch,No,0,No,Blt./Standing,0,"Double Pane Windows
Out Buildings
Lighting",0.0,Yes,No,"Fenced: Part
View: Mountain
Drip Irrigation: Auto-Part",0.0X0.0X0.0,0,0,0,Yes,"Storage Sheds
Swing Set",Parking: Uncovered,0,,No,Asphalt,No,"Fenced: Part
View: Mountain
Drip Irrigation: Auto-Part","Landscaping: Full
Mature Trees
Stream",Mountain(S),Yes,No,959,"Ceiling Fan
Dryer
Washer","None
Slab",0,0,0,959,Natural Ventilation,Yes,No,0,"Laminate
Tile",Gas: Central,True,"Range: Gas
Range/Oven: Free Stdng.","Electric Dryer Hookup
Gas Dryer Hookup",2,,6,0,No,0,Single Family,"Refrigerator
Window Coverings","Ceiling Fan
Dryer
Range
Storage Sheds
Swing Set
Washer",0,0,No,"Conventional
Fha
Va Loan",No,0,0,0,No,Blt./Standing,Single Family Residence,No,Sewer: Connected,1152,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected","Culinary
Irrigation: Pressure",Single-Family,Aluminum,,600,,,,,,,,,,,,,,,,
0,250000,3,0.03,2,0,1229,203,Harvest Hill,Condo,2008,Utah,Am Fork; Hlnd; Lehi; Saratog.,Harvest,Willowcreek,Lehi,Alpine,Rambler/Ranch,No,0,No,Blt./Standing,2,"Deck; Covered
Double Pane Windows
Porch: Open
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks
Sprinkler: Auto-Full
Terrain: Grad Slope
View: Lake
View: Mountain
View: Valley",0.0X0.0X0.0,0,0,0,No,,,2,Porch: Open,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks
Sprinkler: Auto-Full
Terrain: Grad Slope
View: Lake
View: Mountain
View: Valley",Landscaping: Full,"Lake
Mountain(S)
Valley",Yes,No,1229,"Ceiling Fan
Microwave
Refrigerator",None,0,0,0,1229,Central Air,Yes,No,0,"Carpet
Linoleum
Tile","Forced Air
Gas: Central",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Range/Oven: Free Stdng.
Vaulted Ceilings",Electric Dryer Hookup,3,,10,240,Yes,0,Residential,,"Ceiling Fan
Microwave
Range
Refrigerator",0,0,No,"Cash
Conventional
Va Loan
Usda Rural Development",No,0,0,0,No,Blt./Standing,Condominium,No,"Sewer: Connected
Sewer: Public",1082,"Natural Gas Connected
Electricity Available
Sewer Connected
Sewer: Public
Water Available",Culinary,Multi-Family,"Stone
Stucco",Blinds,2150,Common Rv Parking,"Barbecue
Rv Parking
Insurance
Pets Permitted
Picnic Area
Playground
Sewer Paid
Snow Removal
Trash
Water",Monthly,"Insurance
Sewer
Trash
Water",Multi,,,,,,,,,,,
0,315000,4,0.12,2,0,2370,133,Provo; Mamth; Springville,Villa/Townhouse,1995,Utah,Provo; Mamth; Springville,Cherry Creek,Springville Jr,Springville,Nebo,A-Frame,No,0,No,Blt./Standing,0,,0.0,No,No,"Fenced: Part
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,Window Coverings,,0,,No,Asphalt,No,"Fenced: Part
Sprinkler: Auto-Full
Terrain
Flat","Fruit Trees
Landscaping: Full",,No,No,1193,"Ceiling Fan
Range Hood",Full,100,0,0,2370,Central Air,Yes,No,0,"Carpet
Laminate
Tile",>= 95% Efficiency,True,"Closet: Walk-In
Disposal
Range/Oven: Free Stdng.",Electric Dryer Hookup,2,,10,0,No,0,Residential,"Basketball Standard
Dryer
Gas Grill/Bbq
Microwave
Refrigerator
Washer","Ceiling Fan
Range
Range Hood
Window Coverings",0,0,No,,No,0,0,0,No,Blt./Standing,Twin,No,,1731,,Culinary,,,,1150,,,,,,,,,,,,,,,,
0,250000,3,0.03,2,0,1250,200,Hillcrest Hoa,Condo,2012,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Vista Heights Middle School,Westlake,Alpine,Condo; Middle Level,No,0,No,Blt./Standing,1,"Balcony
Double Pane Windows
Patio: Covered",0.0,Yes,No,"Sidewalks
Sprinkler: Auto-Full
View: Lake
View: Mountain
View: Valley",0.0X0.0X0.0,0,0,1,Yes,,Parking: Uncovered,2,Covered,Yes,Asphalt,No,"Sidewalks
Sprinkler: Auto-Full
View: Lake
View: Mountain
View: Valley",Landscaping: Full,"Lake
Mountain(S)
Valley",Yes,No,1250,"Ceiling Fan
Portable Dishwasher
Microwave
Refrigerator",None,0,0,0,1250,Central Air,Yes,No,0,"Carpet
Linoleum
Tile",Forced Air,True,"See Remarks
Alarm: Fire
Bath: Master
Closet: Walk-In
Disposal",Electric Dryer Hookup,3,Floor: 1st,9,225,Yes,0,Residential,"Dryer
Washer","See Remarks
Ceiling Fan
Dishwasher: Portable
Microwave
Range
Refrigerator",0,0,No,"Cash
Conventional",No,0,0,0,No,Blt./Standing,Condominium,No,Sewer: Connected,1191,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,"Stone
Stucco",Blinds,,,"Cable Tv
Clubhouse
Fitness Center
Insurance
Maintenance
Pets Permitted
Playground
Pool
Sewer Paid
Snow Removal
Trash
Water",Monthly,"Cable Tv
Insurance
Maintenance Grounds
Sewer
Trash
Water",,"Gunite
Fiberglass
In Ground",Clubhouse,,,,,,,,,
0,304900,3,N/A,2,0,1270,240,The Exchange In Lehi,Condo,2019,Utah,Am Fork; Hlnd; Lehi; Saratog.,North Point,Willowcreek,Lehi,Alpine,Condo; Top Level,No,0,No,Blt./Standing,1,"Balcony
Patio: Covered
Secured Parking
Sliding Glass Doors",0.0,Yes,No,"Road: Paved
Sidewalks
View: Mountain",0.0X0.0X0.0,0,0,2,Yes,Window Coverings,"Parking: Uncovered
Secured",3,Covered,Yes,Asphalt,Yes,"Road: Paved
Sidewalks
View: Mountain",Landscaping: Full,Mountain(S),Yes,No,1270,"Ceiling Fan
Portable Dishwasher
Dryer
Freezer
Microwave
Refrigerator
Washer",None,0,0,0,1270,Central Air,Yes,No,0,"Carpet
Laminate",Gas: Central,True,"Alarm: Fire
Bath: Master
Bath: Sep. Tub/Shower
Closet: Walk-In
Disposal
Floor Drains
Great Room
Vaulted Ceilings",Electric Dryer Hookup,3,Floor: 1st,9,210,Yes,0,Residential,,"Ceiling Fan
Dishwasher: Portable
Dryer
Freezer
Microwave
Range
Refrigerator
Washer
Window Coverings",0,0,No,"Cash
Conventional
Fha",No,0,0,0,No,Blt./Standing,Condominium,No,Sewer: Connected,1220,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,Multi-Family,"Asphalt
Stone
Cement Siding",Blinds,1850,,"Clubhouse
Fitness Center
Pets Permitted
Picnic Area
Playground
Pool
Sewer Paid
Snow Removal
Tennis Court(S)
Water",Monthly,"Sewer
Water",R-3,"Gunite
Fenced
Heated
In Ground",Clubhouse,,,,,,,,,
0,599000,5,0.43,3,1,4188,143,Lake Mountain Estate,Single-Family Home,2017,Utah,Am Fork; Hlnd; Lehi; Saratog.,Sage Hills,Lake Mountain,Westlake,Alpine,Stories: 2,Yes,0,No,Blt./Standing,2,"Basement Entrance
Double Pane Windows
Entry (Foyer)
Porch: Open
Walkout",0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full
View: Lake
View: Mountain
Drip Irrigation: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,Porch: Open,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full
Terrain
Flat
View: Lake
View: Mountain
Drip Irrigation: Auto-Full","Fruit Trees
Landscaping: Full
Mature Trees
Vegetable Garden","Lake
Mountain(S)",Yes,No,2594,"Ceiling Fan
Microwave
Range Hood
Refrigerator
Water Softener Owned",Full,100,0,1,4188,Central Air,Yes,No,0,"Carpet
Laminate
Travertine","Forced Air
Gas: Central",True,"Bath: Master
Bath: Sep. Tub/Shower
Central Vacuum
Closet: Walk-In
Den/Office
Great Room
Vaulted Ceilings
Granite Countertops
Theater Room","Electric Dryer Hookup
Gas Dryer Hookup",0,Floor: 2nd,15,0,No,0,Single Family,"Dryer
Washer
Workbench","Ceiling Fan
Microwave
Range
Range Hood
Refrigerator
Water Softener: Own",0,0,No,"Cash
Conventional
Fha
Va Loan",No,0,0,0,No,Blt./Standing,Single Family Residence,No,"Sewer: Connected
Sewer: Public",2866,"Natural Gas Connected
Electricity Connected
Sewer Connected
Sewer: Public
Water Connected","Culinary
Irrigation",Single-Family,"Asphalt
Stone
Stucco",None,,,,,,,,,,,,,,,,,
0,549950,4,0.09,2,1,2988,184,Lexington Green,Single-Family Home,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Thunder Ridge,Vista Heights Middle School,Westlake,Alpine,Stories: 2,Yes,0,No,Und. Const.,2,"Double Pane Windows
Porch: Open",0.0,Yes,No,"Sprinkler: Auto-Full
View: Mountain
Drip Irrigation: Auto-Part",0.0X0.0X0.0,0,0,2,No,,,4,Porch: Open,No,Asphalt,No,"Sprinkler: Auto-Full
View: Mountain
Drip Irrigation: Auto-Part",Landscaping: Full,Mountain(S),Yes,No,2121,"Ceiling Fan
Portable Dishwasher","Full
Walk-Out Access
See Remarks",0,0,1,2988,Central Air,Yes,No,0,"See Remarks
Carpet
Laminate",Forced Air,True,"See Remarks
Bath: Master
Closet: Walk-In
Range: Gas
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,12,55,Yes,0,Single Family,"Refrigerator
Window Coverings","Ceiling Fan
Dishwasher: Portable
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Single Family Residence,No,"Sewer: Connected
Sewer: Public",1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Sewer: Public
Water Connected",Culinary,Single-Family,"Asphalt
Clapboard/Masonite
Stone
Stucco",None,,,Other,Monthly,,,,,,,,,,,,,
